# Sparse memory scaling experiment

## Stage 1: exact 8,192-row comparison

| config | experts | accuracy | total params | active params | peak RSS MiB | warm ns | cold ns | cache hit rate |
|---|---:|---:|---:|---:|---:|---:|---:|---:|
| Dense | 8 | 0.84130859375 | 17 | 17 | 9.032 | 36239.6240234375 | 37103.891372680664 | 0 |
| Sparse-4 | 8 | 0.893798828125 | 99 | 57 | 11.016 | 50219.39675013224 | 99003.314971923828 | 0.97916666666666663 |
| Random-4 | 8 | 0.8157958984375 | 99 | 6 | 10.047000000000001 | 50539.771715799965 | 55879.354476928711 | 0.67708333333333337 |
| Perfect-4 | 8 | 0.893798828125 | 99 | 6 | 9.391 | 40312.608083089195 | 73522.329330444336 | 0.97916666666666663 |
| All-expert | 8 | 0.863037109375 | 99 | 48 | 9.75 | 126592.81492233276 | 123620.03326416016 | 0 |

## Scaling

| experts | total params | active params | accuracy | peak RSS MiB | warm latency ns | cold latency ns | cache hit rate |
|---:|---:|---:|---:|---:|---:|---:|---:|
| 8 | 99 | 57 | 0.893798828125 | 11.016 | 50219.39675013224 | 99003.314971923828 | 0.97916666666666663 |
| 32 | 430 | 91 | 0.88818359375 | 12.547000000000001 | 58280.924956003822 | 91716.647148132324 | 0.97916666666666663 |
| 128 | 1652 | 125 | 0.8936767578125 | 13.125 | 57481.229305267334 | 95658.004283905029 | 0.97916666666666663 |

## Cache configurations

| config | experts | cache | accuracy | peak RSS MiB | warm ns | cold ns | hit rate |
|---|---:|---:|---:|---:|---:|---:|---:|
| Sparse-0 | 8 | 0 | 0.893798828125 | 13.218999999999999 | 77115.992705027267 | 89496.374130249023 | 0 |
| Sparse-1 | 8 | 1 | 0.893798828125 | 12.422000000000001 | 64800.182978312179 | 95993.280410766602 | 0.5 |
| Sparse-4 | 8 | 4 | 0.893798828125 | 11.016 | 50219.39675013224 | 99003.314971923828 | 0.97916666666666663 |
| Sparse-0 | 32 | 0 | 0.88818359375 | 14.25 | 80823.898315429688 | 95911.324024200439 | 0 |
| Sparse-1 | 32 | 1 | 0.88818359375 | 13.343999999999999 | 68751.47422154744 | 94063.58003616333 | 0.5 |
| Sparse-4 | 32 | 4 | 0.88818359375 | 12.547000000000001 | 58280.924956003822 | 91716.647148132324 | 0.97916666666666663 |
| Sparse-0 | 128 | 0 | 0.8936767578125 | 14.827999999999999 | 78697.99931844075 | 89470.29709815979 | 0 |
| Sparse-1 | 128 | 1 | 0.8936767578125 | 13.875 | 67343.314488728836 | 91422.349214553833 | 0.5 |
| Sparse-4 | 128 | 4 | 0.8936767578125 | 13.125 | 57481.229305267334 | 95658.004283905029 | 0.97916666666666663 |

## Conclusion

PROMISING

